# Time t       V(t)           max K(t)       max T(t)       Vcr(t)         Acr(t)         Vion(t)        lambda(t)      P(t)           dP(t, t+dt)    Time lag       
4.69773e-07    17059.6        4.44895        0.0845369      0              0              4.75364e-07    0              0              0              inf            
4.71188e-07    17096.4        4.48033        0.0872634      0              0              4.80148e-07    0              0              0              inf            
4.72601e-07    17133.1        4.51169        0.0900759      0              0              4.81007e-07    0              0              0              inf            
4.7401e-07     17169.7        4.5431         0.0929817      0              0              4.83578e-07    0              0              0              inf            
4.75416e-07    17206.1        4.57448        0.0959773      0              0              4.86277e-07    0              0              0              inf            
4.7682e-07     17242.4        4.60593        0.0990764      0              0              4.86945e-07    0              0              0              inf            
4.7822e-07     17278.6        4.63738        0.102274       0              0              4.91873e-07    0              0              0              inf            
4.79618e-07    17314.7        4.66878        0.105568       0              0              4.92827e-07    0              0              0              inf            
4.81012e-07    17350.7        4.69908        0.108846       0              0              4.95303e-07    0              0              0              inf            
4.82404e-07    17386.6        4.73537        0.112905       0              0              4.98755e-07    0              0              0              inf            
4.83793e-07    17422.3        4.76663        0.116522       0              0              4.99327e-07    0              0              0              inf            
4.85179e-07    17457.9        4.79788        0.120253       0              0              5.03234e-07    0              0              0              inf            
4.86562e-07    17493.4        4.82907        0.124095       0              0              5.04694e-07    0              0              0              inf            
4.87943e-07    17528.8        4.86032        0.128066       0              0              5.0517e-07     0              0              0              inf            
4.8932e-07     17564.1        4.89154        0.132158       0              0              5.10289e-07    0              0              0              inf            
4.90695e-07    17599.3        4.92274        0.136378       0              0              5.11625e-07    0              0              0              inf            
4.92067e-07    17634.3        4.95404        0.140746       0              0              5.14863e-07    0              0              0              inf            
4.93437e-07    17669.3        4.98539        0.14526        0              0              5.17076e-07    0              0              0              inf            
4.94803e-07    17704.1        5.01666        0.149907       0              0              5.17744e-07    0              0              0              inf            
4.96167e-07    17738.8        5.04794        0.154702       0              0              5.22318e-07    0              0              0              inf            
4.97529e-07    17773.4        5.07919        0.159645       0              0              5.23301e-07    0              0              0              inf            
4.98887e-07    17807.9        5.11044        0.164743       0              0              5.23587e-07    0              0              0              inf            
5.00243e-07    17842.3        5.1417         0.170007       0              0              5.29183e-07    0              0              0              inf            
5.01597e-07    17876.6        5.17301        0.175445       0              0              5.29945e-07    0              0              0              inf            
5.02948e-07    17910.8        5.2043         0.181053       0              0              5.32707e-07    0              0              0              inf            
5.04296e-07    17944.9        5.23554        0.18683        0              0              5.35683e-07    0              0              0              inf            
5.05642e-07    17978.9        5.26673        0.192782       0              0              5.36446e-07    0              0              0              inf            
5.06985e-07    18012.8        5.29792        0.198921       0              0              5.40543e-07    0              0              0              inf            
5.08325e-07    18046.5        5.32912        0.205256       0              0              5.41621e-07    0              0              0              inf            
5.09664e-07    18080.2        5.36036        0.211801       0              0              5.42384e-07    0              0              0              inf            
5.10999e-07    18113.8        5.3916         0.218554       0              0              5.47408e-07    0              0              0              inf            
5.12332e-07    18147.2        5.42286        0.225526       0              0              5.47885e-07    0              0              0              inf            
5.13663e-07    18180.6        5.45418        0.232733       0              0              5.48552e-07    0              0              0              inf            
5.14991e-07    18213.9        5.48553        0.240177       0              0              5.53527e-07    0              0              0              inf            
5.16317e-07    18247.1        5.51688        0.247856       0              0              5.54195e-07    0              0              0              inf            
5.17641e-07    18280.1        5.54817        0.255766       0              0              5.57815e-07    0              0              0              inf            
5.18962e-07    18313.1        5.57816        0.263583       0              0              5.606e-07      0              0              0              inf            
5.20281e-07    18346          5.60973        0.27207        0              0              5.6185e-07     0              0              0              inf            
5.21597e-07    18378.8        5.64632        0.282247       0              0              5.65423e-07    0              0              0              inf            
5.22911e-07    18411.4        5.67719        0.291129       0              0              5.67732e-07    0              0              0              inf            
5.24223e-07    18444          5.7081         0.300297       0              0              5.6859e-07     0              0              0              inf            
5.25532e-07    18476.5        5.739          0.309755       0              0              5.72115e-07    0              0              0              inf            
5.26839e-07    18508.9        5.76995        0.319523       0              0              5.74328e-07    0              0              0              inf            
5.28144e-07    18541.2        5.80083        0.329575       0              0              5.74709e-07    0              0              0              inf            
5.29446e-07    18573.5        5.83164        0.339916       0              0              5.78997e-07    0              0              0              inf            
5.30746e-07    18605.6        5.86243        0.350579       0              0              5.80075e-07    0              0              0              inf            
5.32044e-07    18637.6        5.8932         0.361564       0              0              5.80982e-07    0              0              0              inf            
5.3334e-07     18669.6        5.92394        0.37288        0              0              5.85671e-07    0              0              0              inf            
5.34634e-07    18701.4        5.95459        0.38452        0              0              5.86434e-07    0              0              0              inf            
5.35925e-07    18733.2        5.9852         0.396503       0              0              5.8672e-07     0              0              0              inf            
5.37214e-07    18764.8        6.01586        0.408878       0              0              5.91504e-07    0              0              0              inf            
5.38501e-07    18796.4        6.04658        0.421667       0              0              5.92839e-07    0              0              0              inf            
5.39786e-07    18827.9        6.07726        0.434832       0              0              5.94175e-07    0              0              0              inf            
5.41069e-07    18859.3        6.1079         0.448393       0              0              5.99054e-07    0              0              0              inf            
5.42349e-07    18890.6        6.13859        0.4624         0              0              6.00162e-07    0              0              0              inf            
5.43628e-07    18921.9        6.16936        0.476881       0              0              6.01401e-07    0              0              0              inf            
5.44904e-07    18953          6.20009        0.491794       0              0              6.06281e-07    0              0              0              inf            
5.46178e-07    18984.1        6.23076        0.507143       0              0              6.06853e-07    0              0              0              inf            
5.47451e-07    19015.1        6.26144        0.522975       0              0              6.07807e-07    0              0              0              inf            
5.48721e-07    19046          6.29219        0.539338       0              0              6.12209e-07    0              0              0              inf            
5.49989e-07    19076.8        6.32293        0.556202       0              0              6.13163e-07    0              0              0              inf            
5.51255e-07    19107.5        6.3537         0.573614       0              0              6.13831e-07    0              0              0              inf            
5.52519e-07    19138.1        6.38447        0.591568       0              0              6.1914e-07     0              0              0              inf            
5.53781e-07    19168.7        6.4152         0.610066       0              0              6.19617e-07    0              0              0              inf            
5.5504e-07     19199.2        6.4459         0.629113       0              0              6.20285e-07    0              0              0              inf            
5.56298e-07    19229.6        6.47486        0.64763        0              0              6.24974e-07    0              0              0              inf            
5.57554e-07    19259.9        6.50547        0.66779        0              0              6.26023e-07    0              0              0              inf            
5.58808e-07    19290.1        6.53631        0.688737       0              0              6.26213e-07    0              0              0              inf            
5.6006e-07     19320.3        6.57449        0.715581       0              0              6.31188e-07    0              0              0              inf            
5.6131e-07     19350.4        6.60466        0.737531       0              0              6.32714e-07    0              0              0              inf            
